Condition 1,Lot Config,Bsmt Full Bath,MS SubClass,Paved Drive,Wood Deck SF,Overall Cond,Yr Sold,Bedroom AbvGr,Half Bath,Garage Qual,Sale Condition,Full Bath,BsmtFin Type 1,Functional,Lot Area,Mas Vnr Area,Total Bsmt SF,Mas Vnr Type,Screen Porch,SalePrice
2,1,1.0,20,1,210,5,2010,3,0,2.0,0,1,2.0,10,31770,112.0,1080.0,4.0,0,215000
1,0,0.0,20,0,140,6,2010,2,0,2.0,0,1,3.0,10,11622,0.0,882.0,3.0,120,105000
2,1,0.0,20,0,393,6,2010,3,1,2.0,0,1,1.0,10,14267,108.0,1329.0,1.0,0,172000
2,1,1.0,20,0,0,5,2010,3,1,2.0,0,2,1.0,10,11160,0.0,2110.0,3.0,0,244000
2,0,0.0,60,0,212,5,2010,3,1,2.0,0,2,0.0,10,13830,0.0,928.0,3.0,0,189900
2,0,0.0,60,0,360,6,2010,3,1,2.0,0,2,0.0,10,9978,20.0,926.0,1.0,0,195500
2,0,1.0,120,0,0,5,2010,2,0,2.0,0,2,0.0,10,4920,0.0,1338.0,3.0,0,213500
2,0,0.0,120,0,0,5,2010,2,0,2.0,0,2,1.0,10,5005,0.0,1280.0,3.0,144,191500
2,0,1.0,120,0,237,5,2010,2,0,2.0,0,2,0.0,10,5389,0.0,1595.0,3.0,0,236500
2,0,0.0,60,0,140,5,2010,3,1,2.0,0,2,5.0,10,7500,0.0,994.0,3.0,0,189000
2,1,0.0,60,0,157,5,2010,3,1,2.0,0,2,5.0,10,10000,0.0,763.0,3.0,0,175900
2,0,1.0,20,0,483,7,2010,3,0,2.0,0,2,1.0,10,7980,0.0,1168.0,3.0,0,185000
2,0,0.0,60,0,0,5,2010,3,1,2.0,0,2,5.0,10,8402,0.0,789.0,3.0,0,180400
2,0,1.0,20,0,192,5,2010,2,1,2.0,0,1,0.0,10,10176,0.0,1300.0,3.0,0,171500
2,1,1.0,120,0,0,5,2010,1,1,2.0,0,1,0.0,10,6820,0.0,1488.0,3.0,140,212000
2,2,1.0,60,0,503,5,2010,4,1,2.0,0,3,1.0,11,53504,603.0,1650.0,1.0,210,538000
2,0,0.0,50,0,325,7,2010,4,0,2.0,0,2,0.0,10,12134,0.0,559.0,3.0,0,164000
2,1,1.0,20,0,113,2,2010,1,1,2.0,6,1,0.0,10,11394,350.0,1856.0,4.0,0,394432
2,1,0.0,20,0,0,5,2010,2,0,2.0,0,1,4.0,10,19138,0.0,864.0,3.0,0,141000
2,0,1.0,20,0,349,6,2010,3,0,2.0,0,2,1.0,12,13175,119.0,1542.0,4.0,0,210000
2,0,0.0,20,0,0,6,2010,3,0,2.0,0,2,2.0,10,11751,480.0,1844.0,1.0,0,190000
2,0,1.0,85,0,0,6,2010,3,0,2.0,5,2,0.0,10,10625,81.0,1053.0,1.0,0,170000
2,0,1.0,60,0,0,5,2010,3,1,2.0,0,2,0.0,10,7500,0.0,814.0,3.0,0,216000
2,2,1.0,20,0,0,7,2010,2,0,2.0,0,1,1.0,10,11241,180.0,1004.0,1.0,0,149000
2,2,1.0,20,0,0,6,2010,3,1,2.0,0,1,0.0,10,12537,0.0,1078.0,3.0,0,149900
2,0,1.0,20,0,0,6,2010,3,0,2.0,0,1,2.0,10,8450,0.0,1056.0,3.0,0,142000
2,1,1.0,20,0,240,5,2010,2,0,2.0,0,1,1.0,10,8400,0.0,882.0,3.0,0,126000
2,3,0.0,20,0,0,5,2010,3,0,5.0,0,1,1.0,10,10500,0.0,864.0,3.0,0,115000
2,3,1.0,120,0,203,5,2010,2,0,2.0,0,2,0.0,10,5858,0.0,1405.0,3.0,0,184000
2,0,0.0,160,0,275,5,2010,2,1,2.0,0,1,3.0,10,1680,504.0,483.0,1.0,0,96000
2,0,0.0,160,0,0,5,2010,3,1,2.0,0,1,3.0,10,1680,492.0,525.0,1.0,0,105500
2,0,0.0,160,0,0,5,2010,3,1,2.0,5,1,5.0,10,1680,381.0,525.0,1.0,0,88000
2,0,0.0,120,0,0,5,2010,2,0,2.0,0,2,1.0,10,4043,0.0,1069.0,3.0,165,127500
2,3,0.0,160,0,173,6,2010,3,1,2.0,0,2,1.0,10,2280,0.0,855.0,3.0,0,149900
2,3,0.0,120,0,0,6,2010,2,0,2.0,0,1,5.0,10,2280,0.0,836.0,3.0,0,120000
2,0,0.0,160,0,26,5,2010,3,1,2.0,0,2,1.0,10,2280,0.0,855.0,3.0,0,146000
2,0,0.0,60,0,144,5,2010,3,1,2.0,6,2,5.0,10,12858,162.0,1590.0,4.0,0,376162
2,0,1.0,20,0,0,5,2010,3,0,2.0,0,2,0.0,10,11478,200.0,1704.0,4.0,0,306000
2,0,1.0,20,0,168,5,2010,3,1,2.0,6,2,0.0,10,10159,450.0,1930.0,4.0,0,395192
2,1,0.0,20,0,0,5,2010,3,0,2.0,6,2,5.0,10,12883,256.0,1544.0,4.0,0,290941
2,1,0.0,20,0,0,5,2010,3,0,2.0,6,2,2.0,10,12182,226.0,1541.0,1.0,0,220000
5,0,0.0,20,0,192,5,2010,3,0,2.0,0,2,0.0,10,11520,615.0,1698.0,1.0,0,275000
2,0,0.0,20,0,0,5,2010,3,0,2.0,0,2,0.0,10,14122,240.0,1822.0,1.0,0,259000
2,0,0.0,20,0,0,5,2010,3,0,2.0,0,2,0.0,10,10171,168.0,1517.0,1.0,0,214000
2,0,1.0,20,0,0,5,2010,2,1,2.0,6,2,0.0,10,12919,760.0,2330.0,4.0,0,611657
2,0,1.0,120,0,192,5,2010,2,0,2.0,6,2,0.0,10,6371,128.0,1358.0,4.0,0,224000
2,0,1.0,20,0,220,5,2010,3,1,2.0,0,2,0.0,10,14300,1095.0,2846.0,1.0,0,500000
2,1,1.0,60,0,238,5,2010,3,1,2.0,0,2,0.0,10,13650,232.0,1671.0,1.0,0,320000
2,0,1.0,120,0,196,5,2010,2,0,2.0,0,2,0.0,10,7658,412.0,1752.0,1.0,0,319900
2,0,0.0,120,0,120,5,2010,2,0,2.0,0,2,0.0,10,7132,178.0,1370.0,4.0,0,205000
2,0,0.0,160,0,0,5,2010,2,1,2.0,0,2,5.0,10,2628,106.0,764.0,4.0,0,175500
2,1,0.0,20,0,36,5,2010,3,0,2.0,0,2,5.0,10,18494,0.0,1324.0,3.0,0,199500
2,0,0.0,120,0,100,5,2010,2,0,2.0,0,2,0.0,10,3203,14.0,1145.0,1.0,0,160000
2,0,0.0,120,0,146,5,2010,2,0,2.0,0,2,0.0,10,3182,16.0,1256.0,1.0,144,192000
2,0,1.0,80,0,100,5,2010,3,1,2.0,0,2,0.0,10,13300,0.0,384.0,3.0,0,184500
2,0,1.0,60,0,288,5,2010,4,1,2.0,0,2,0.0,10,7851,0.0,860.0,3.0,0,216500
2,0,0.0,60,0,144,5,2010,3,1,2.0,0,2,5.0,10,8577,0.0,847.0,3.0,0,185088
2,0,0.0,80,0,180,5,2010,3,1,2.0,0,2,0.0,10,7750,0.0,384.0,3.0,0,180000
2,2,0.0,60,0,144,5,2010,3,1,2.0,0,2,5.0,10,9505,180.0,884.0,1.0,0,222500
2,1,0.0,60,0,668,5,2010,4,1,2.0,0,2,5.0,10,14774,165.0,1393.0,1.0,0,333168
2,2,0.0,60,0,23,5,2010,4,1,2.0,0,2,5.0,10,17433,114.0,1629.0,1.0,256,355000
2,0,1.0,20,0,240,5,2010,3,0,2.0,0,2,0.0,10,10593,338.0,1720.0,1.0,0,260400
2,1,1.0,60,0,186,5,2010,3,1,2.0,0,2,0.0,10,12256,362.0,1463.0,1.0,0,325000
2,2,0.0,60,0,132,7,2010,4,1,2.0,0,2,0.0,10,11764,348.0,1152.0,1.0,0,290000
2,2,0.0,60,0,0,5,2010,4,1,2.0,0,2,5.0,10,16770,30.0,1195.0,1.0,0,221000
2,2,1.0,50,0,283,5,2010,4,1,2.0,0,2,0.0,10,14720,579.0,2033.0,1.0,0,410000
2,0,0.0,20,0,144,5,2010,2,0,2.0,0,2,5.0,10,8987,226.0,1595.0,1.0,0,221500
2,0,0.0,20,0,0,5,2010,2,0,2.0,6,2,5.0,10,9215,0.0,1218.0,3.0,0,204500
2,0,0.0,60,0,169,5,2010,3,1,2.0,0,2,0.0,10,8640,0.0,756.0,3.0,0,215200
2,0,1.0,20,0,144,5,2010,3,0,2.0,0,2,0.0,10,9000,36.0,1566.0,4.0,0,262500
2,1,0.0,60,0,0,5,2010,3,1,2.0,0,2,0.0,10,12552,0.0,991.0,3.0,0,254900
2,1,1.0,20,0,0,5,2010,2,0,2.0,0,2,0.0,10,10440,0.0,1468.0,3.0,216,271500
2,0,1.0,60,0,0,5,2010,4,1,2.0,0,2,0.0,10,10142,0.0,956.0,3.0,0,233000
2,0,0.0,60,0,144,5,2010,3,1,2.0,0,2,5.0,10,11920,122.0,831.0,1.0,0,181000
2,0,1.0,60,0,0,5,2010,3,1,2.0,0,2,0.0,10,8880,0.0,948.0,3.0,0,205000
2,0,0.0,120,0,80,5,2010,2,0,2.0,0,2,2.0,10,8012,0.0,923.0,3.0,0,143000
2,0,0.0,60,0,635,5,2010,3,1,2.0,0,2,5.0,10,11218,0.0,1055.0,3.0,0,189000
2,0,0.0,120,0,28,5,2010,2,0,2.0,0,2,5.0,10,7892,0.0,918.0,3.0,0,99500
2,0,1.0,120,0,353,5,2010,2,0,2.0,0,1,1.0,10,7175,0.0,744.0,3.0,90,125000
7,2,0.0,60,0,370,7,2010,3,1,2.0,0,2,2.0,10,9453,0.0,996.0,3.0,0,194500
